	Col0_AWF_NT_R4	Col0_AWF_NT_R5	Col0_AWF_NT_R6	Col0_CL_R1	Col0_CL_R2	Col0_CL_R3	Col0_CL_ribo_R1	Col0_CL_ribo_R2	Col0_CL_ribo_R3	Col0_LSW_R1	Col0_LSW_R2	Col0_LSW_R3
AT5G34842	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34843	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34844	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34845	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34846	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34847	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34848	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34849	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34850	0	0	0	28.6315701617387	29.1493980836346	12.1745898507797	27.9621456904718	56.381081586566	28.7846735958084	42.0019333623685	0	0
AT5G34851	0	0	0	0	0	0.338183051410547	0	0	0	0	0	0
AT5G34852	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34853	0	0	0	6.60728542193971	0	7.44002713103203	5.91165870834498	7.1975848833914	7.21739603434725	4.66688148470762	0	0
AT5G34854	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34855	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34856	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34857	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34858	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34859	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34860	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34861	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34862	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34863	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34864	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34865	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34866	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34867	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34868	0	0	0	0.22024284739799	0	0.676366102821094	0.177349761250349	0.342742137304352	0.169821083161112	0	0	0
AT5G34869	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34870	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34871	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34880	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34881	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34882	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34883	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34885	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34887	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34890	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34895	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34900	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34903	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34905	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34908	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34910	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34920	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34925	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34930	0	0	0	3.74412840576583	0	0	2.30554689625454	3.08467923573917	1.52838974845001	0	0	0
AT5G34940	0	0	0	0	0	0	1.0640985675021	0	0	0	0	0
AT5G34945	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34950	0	0	0	0	0	0	0	0	0	0	0	0
